,Text,Sentiment_level
0,"RT @RyanAFournier: 2 years with President Trump:

- No new wars and the eradication of ISIS. Peace with North Korea.
- Lowest unemployment…",-0.07
1,RT @hrenee80: I can’t even wrap my head around why we would even think about going after a Green Beret (who had already been cleared) for k…,-0.2
2,RT @secretstranger9: Obama Just Issued Disturbing Threat To Trump After Judge Shreds Obamacare https://t.co/YTGTDnatLx,-0.5
3,"OS bolsonaristas sonhavam com Trump na posse. E, ao contrário de Dilma, que teve o Vice dos EUA em sua posse, nem o… https://t.co/RAxmjvmQM2",0.0
4,"RT @krassenstein: Fox News Contributor Suggests Trump Supporters Could Fund the Wall Themselves

RETWEET if you agree!

https://t.co/SWRT5M…",0.0
5,"RT @CheriJacobus: @BillOReilly you went on Gretchen's show and lied, claiming during the primary that Trump had no superPAC even though Was…",0.4
6,Trump is a cuck RT @Joshua_2448: RT @DavieGOP: President Trump made an unannounced visit to Arlington National Ceme… https://t.co/ejHiPHEJqY,0.0
7,"RT @ASlavitt: BREAKING: 17 AGs led by @AGBecerra of California just filed a motion in Texas to clarify that ACA is the law of the land.

Th…",0.0
8,"@jaketapper   Are you reading this?   
Another Republican governor trying to dismantle the state.

Scott Walker/tru… https://t.co/KLaJWtqyUG",0.0
9,RT @DerekCressman: Judge Maryanne Trump Barry conspired with her other siblings to generate a series of scams to transfer her father’s weal…,-0.12
10,RT @ChuckGrassley: 2night Senate had resounding 82-12 vote Cloture invoked on the First Step Act &amp; up to 30 hrs of debate begins Full backi…,0.3
11,"RT @Jim_Jordan: Comey called the Clinton investigation a “matter.”

7 times in his memos he referenced that President Trump was not under i…",0.0
12,@realDonaldTrump President Trump is elected for a reason and President Trump should solve the immigration and China problem.,0.0
13,"RT @kurteichenwald: 1. Now that some of the Trump lies are exposed, we have to look back at one horrifying event and see it in completely d…",-0.27
14,"RT @seanmdav: Steele is also still desperately clinging to an utterly debunked claim about Alfa Bank servers colluding with Trump servers,…",-0.3
